,lat,lon,timezone,timezone_offset,dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_id,weather_main,weather_description,weather_icon
0,44.2,-119.6,America/Los_Angeles,-25200,1177632000,1177592213,1177642512,288.83,287.42,1017,37,274.2,,92,,2.82,260,804,Clouds,overcast clouds,04d
1,44.2,-119.6,America/Los_Angeles,-25200,1177635600,1177592213,1177642512,288.26,286.79,1017,37,273.69,,82,,2.78,276,803,Clouds,broken clouds,04d
2,44.2,-119.6,America/Los_Angeles,-25200,1177639200,1177592213,1177642512,288.1,286.72,1017,41,274.97,,37,,1.76,301,802,Clouds,scattered clouds,03d
3,44.2,-119.6,America/Los_Angeles,-25200,1177642800,1177592213,1177642512,280.39,278.62,1017,69,275.09,,0,,2.61,337,800,Clear,clear sky,01n
4,44.2,-119.6,America/Los_Angeles,-25200,1177646400,1177592213,1177642512,280.36,278.72,1018,66,274.44,,0,,2.43,353,800,Clear,clear sky,01n
5,44.2,-119.6,America/Los_Angeles,-25200,1177650000,1177592213,1177642512,278.7,276.84,1019,73,274.25,,9,,2.34,8,800,Clear,clear sky,01n
6,44.2,-119.6,America/Los_Angeles,-25200,1177653600,1177592213,1177642512,279.46,278.53,1019,77,275.73,,21,,1.55,31,801,Clouds,few clouds,02n
7,44.2,-119.6,America/Los_Angeles,-25200,1177657200,1177678522,1177728985,280.02,280.02,1019,70,274.94,,75,,0.95,52,803,Clouds,broken clouds,04n
8,44.2,-119.6,America/Los_Angeles,-25200,1177660800,1177678522,1177728985,279.96,279.96,1020,70,274.88,,90,,0.69,56,804,Clouds,overcast clouds,04n
9,44.2,-119.6,America/Los_Angeles,-25200,1177664400,1177678522,1177728985,278.59,278.59,1020,78,275.07,,75,,0.53,77,803,Clouds,broken clouds,04n
10,44.2,-119.6,America/Los_Angeles,-25200,1177668000,1177678522,1177728985,275.39,275.39,1020,81,272.55,,65,,0.85,85,803,Clouds,broken clouds,04n
11,44.2,-119.6,America/Los_Angeles,-25200,1177671600,1177678522,1177728985,274.74,274.74,1020,82,272.14,,81,,0.99,94,803,Clouds,broken clouds,04n
12,44.2,-119.6,America/Los_Angeles,-25200,1177675200,1177678522,1177728985,274.95,274.95,1020,82,272.32,,63,,1.07,111,803,Clouds,broken clouds,04n
13,44.2,-119.6,America/Los_Angeles,-25200,1177678800,1177678522,1177728985,275.2,275.2,1020,82,272.54,,68,,1.2,124,803,Clouds,broken clouds,04d
14,44.2,-119.6,America/Los_Angeles,-25200,1177682400,1177678522,1177728985,276.03,274.61,1020,81,273.1,,67,,1.55,129,803,Clouds,broken clouds,04d
15,44.2,-119.6,America/Los_Angeles,-25200,1177686000,1177678522,1177728985,284.05,282.79,1021,61,276.83,,31,,1.29,145,802,Clouds,scattered clouds,03d
16,44.2,-119.6,America/Los_Angeles,-25200,1177689600,1177678522,1177728985,286.45,285.25,1021,54,277.35,,15,,1.64,170,801,Clouds,few clouds,02d
17,44.2,-119.6,America/Los_Angeles,-25200,1177693200,1177678522,1177728985,287.94,286.7,1020,47,276.75,,33,,2.68,182,802,Clouds,scattered clouds,03d
18,44.2,-119.6,America/Los_Angeles,-25200,1177696800,1177678522,1177728985,288.98,287.79,1019,45,277.08,,42,,3.23,189,802,Clouds,scattered clouds,03d
19,44.2,-119.6,America/Los_Angeles,-25200,1177700400,1177678522,1177728985,290.17,289.05,1019,43,277.51,,15,,3.44,193,801,Clouds,few clouds,02d
20,44.2,-119.6,America/Los_Angeles,-25200,1177704000,1177678522,1177728985,291.06,289.9,1018,38,276.56,,1,,3.51,199,800,Clear,clear sky,01d
21,44.2,-119.6,America/Los_Angeles,-25200,1177707600,1177678522,1177728985,294.41,293.35,1017,29,275.68,,16,,3.4,204,801,Clouds,few clouds,02d
22,44.2,-119.6,America/Los_Angeles,-25200,1177711200,1177678522,1177728985,294.99,293.93,1016,27,275.18,,52,,2.95,215,803,Clouds,broken clouds,04d
23,44.2,-119.6,America/Los_Angeles,-25200,1177714800,1177678522,1177728985,295.22,294.14,1015,25,274.3,,40,,2.67,224,802,Clouds,scattered clouds,03d
24,44.2,-119.6,America/Los_Angeles,-25200,1177718400,1177678522,1177728985,295.55,294.45,1014,23,273.42,,0,,2.26,238,800,Clear,clear sky,01d
25,44.2,-119.6,America/Los_Angeles,-25200,1177722000,1177678522,1177728985,295.55,294.47,1014,24,274.01,,0,,1.68,270,800,Clear,clear sky,01d
26,44.2,-119.6,America/Los_Angeles,-25200,1177725600,1177678522,1177728985,293.69,292.71,1013,35,277.72,,0,,2.16,342,800,Clear,clear sky,01d
27,44.2,-119.6,America/Los_Angeles,-25200,1177729200,1177678522,1177728985,287.47,286.34,1014,53,278.03,,1,,2.55,349,800,Clear,clear sky,01n
28,44.2,-119.6,America/Los_Angeles,-25200,1177732800,1177678522,1177728985,285.67,284.6,1015,62,278.59,,9,,2.61,346,800,Clear,clear sky,01n
29,44.2,-119.6,America/Los_Angeles,-25200,1177736400,1177678522,1177728985,283.33,282.28,1016,72,278.51,,17,,2.07,348,801,Clouds,few clouds,02n
30,44.2,-119.6,America/Los_Angeles,-25200,1177740000,1177678522,1177728985,283.01,281.81,1017,78,279.36,,31,,2.5,351,802,Clouds,scattered clouds,03n
31,44.2,-119.6,America/Los_Angeles,-25200,1177743600,1177764832,1177815459,282.06,281.05,1017,80,278.8,,23,,2.03,354,801,Clouds,few clouds,02n
32,44.2,-119.6,America/Los_Angeles,-25200,1177747200,1177764832,1177815459,281.24,280.44,1017,81,278.18,,8,,1.67,18,800,Clear,clear sky,01n
33,44.2,-119.6,America/Los_Angeles,-25200,1177750800,1177764832,1177815459,279.66,278.81,1017,90,278.14,,15,,1.51,21,801,Clouds,few clouds,02n
34,44.2,-119.6,America/Los_Angeles,-25200,1177754400,1177764832,1177815459,278.06,277.09,1017,90,276.56,,19,,1.43,34,801,Clouds,few clouds,02n
35,44.2,-119.6,America/Los_Angeles,-25200,1177758000,1177764832,1177815459,277.84,276.81,1017,91,276.5,,30,,1.45,20,802,Clouds,scattered clouds,03n
36,44.2,-119.6,America/Los_Angeles,-25200,1177761600,1177764832,1177815459,278.31,278.31,1018,91,276.96,,49,,1.24,29,802,Clouds,scattered clouds,03n
37,44.2,-119.6,America/Los_Angeles,-25200,1177765200,1177764832,1177815459,278.12,278.12,1018,93,277.08,,57,,0.97,59,803,Clouds,broken clouds,04d
38,44.2,-119.6,America/Los_Angeles,-25200,1177768800,1177764832,1177815459,278.17,278.17,1018,94,277.29,,23,,0.75,79,801,Clouds,few clouds,02d
39,44.2,-119.6,America/Los_Angeles,-25200,1177772400,1177764832,1177815459,284.19,283.31,1019,75,279.93,,24,,0.64,59,801,Clouds,few clouds,02d
40,44.2,-119.6,America/Los_Angeles,-25200,1177776000,1177764832,1177815459,287.29,286.43,1018,64,280.59,,21,,0.62,16,801,Clouds,few clouds,02d
41,44.2,-119.6,America/Los_Angeles,-25200,1177779600,1177764832,1177815459,288.33,287.42,1018,58,280.13,,13,,0.52,306,801,Clouds,few clouds,02d
42,44.2,-119.6,America/Los_Angeles,-25200,1177783200,1177764832,1177815459,289.25,288.3,1017,53,279.68,,12,,1.19,257,801,Clouds,few clouds,02d
43,44.2,-119.6,America/Los_Angeles,-25200,1177786800,1177764832,1177815459,290.14,289.1,1017,46,278.45,,14,,1.91,250,801,Clouds,few clouds,02d
44,44.2,-119.6,America/Los_Angeles,-25200,1177790400,1177764832,1177815459,291.4,290.35,1016,41,277.94,,12,,2.42,256,801,Clouds,few clouds,02d
45,44.2,-119.6,America/Los_Angeles,-25200,1177794000,1177764832,1177815459,293.94,292.91,1015,32,276.66,,9,,2.56,266,800,Clear,clear sky,01d
46,44.2,-119.6,America/Los_Angeles,-25200,1177797600,1177764832,1177815459,295.14,294.07,1015,26,274.78,,19,,2.7,280,801,Clouds,few clouds,02d
47,44.2,-119.6,America/Los_Angeles,-25200,1177801200,1177764832,1177815459,295.18,294.12,1014,26,274.81,,32,,2.82,291,802,Clouds,scattered clouds,03d
48,44.2,-119.6,America/Los_Angeles,-25200,1177804800,1177764832,1177815459,294.7,293.62,1014,27,274.93,,69,,2.97,308,803,Clouds,broken clouds,04d
49,44.2,-119.6,America/Los_Angeles,-25200,1177808400,1177764832,1177815459,293.79,292.67,1013,29,275.15,,69,,3.75,347,803,Clouds,broken clouds,04d
50,44.2,-119.6,America/Los_Angeles,-25200,1177812000,1177764832,1177815459,291.97,290.74,1014,32,274.94,,65,,4.74,6,803,Clouds,broken clouds,04d
51,44.2,-119.6,America/Los_Angeles,-25200,1177815600,1177764832,1177815459,284.92,283.75,1015,61,277.65,,64,,3.77,10,803,Clouds,broken clouds,04n
52,44.2,-119.6,America/Los_Angeles,-25200,1177819200,1177764832,1177815459,283.37,282.3,1015,71,278.35,,35,,2.34,11,802,Clouds,scattered clouds,03n
53,44.2,-119.6,America/Los_Angeles,-25200,1177822800,1177764832,1177815459,282.51,281.76,1016,81,279.42,,70,,1.81,18,803,Clouds,broken clouds,04n
54,44.2,-119.6,America/Los_Angeles,-25200,1177826400,1177764832,1177815459,282.11,281.45,1016,81,279.03,,64,,1.66,28,803,Clouds,broken clouds,04n
